property,property_description
urn:safelayer:tws:dss:1.0:property:pdfattributes,
urn:safelayer:tws:dss:1.0:property:location,
urn:safelayer:tws:dss:1.0:property:commitments,
urn:safelayer:tws:dss:1.0:property:roles,
